day,forecast_time_utc,pod_id,category,event_type,history_missing_rate,actual_missing_rate,implemented_source,implemented_case_count_before,implemented_neighbor_count,implemented_temp_mae,implemented_temp_rmse,implemented_rh_mae,implemented_rh_rmse,implemented_dew_mae,implemented_dew_rmse,persistence_temp_mae,persistence_temp_rmse,persistence_rh_mae,persistence_rh_rmse,persistence_dew_mae,persistence_dew_rmse
2026-03-29,2026-03-29T15:30:00Z,01,stable,none,0.05555555555555558,0.0,fallback_persistence,0,0,0.2185977011494232,0.2356106911528706,0.5565266592510189,0.6429801469700828,0.11427921773625165,0.17275289210078076,0.17766666666666495,0.1901315334183138,0.5493333333333326,0.6338822182919044,0.11820500371094098,0.16503207111482374
2026-03-29,2026-03-29T15:30:00Z,02,stable,none,0.03888888888888886,0.0,fallback_persistence,0,0,0.16166880484488952,0.19602199516099195,1.898338116425655,2.240558928990702,0.43592390751164545,0.551318130608355,0.13559999999999992,0.16321213190201272,0.8639333333333326,1.0162691900607166,0.24864650036987704,0.3126544278563746
2026-03-29,2026-03-29T15:40:00Z,01,stable,none,0.05555555555555558,0.0,fallback_persistence,1,0,0.20834482758620468,0.24180780379189154,1.4075441601779766,1.5332077621064075,0.26869666485092303,0.2901830963384609,0.09499999999999792,0.11510864433221148,1.2026666666666679,1.3049878671211224,0.302456964766138,0.3271076159054884
2026-03-29,2026-03-29T15:40:00Z,02,stable,none,0.03888888888888886,0.0,fallback_persistence,1,0,0.15901316771721655,0.18832920175890672,1.5271271931776076,1.7165124477229903,0.5164961574686482,0.5819465629483352,0.2517000000000001,0.29597426689944967,0.6662666666666671,0.8453866176687057,0.3652934225302425,0.4391615954623752
2026-03-29,2026-03-29T15:50:00Z,01,stable,none,0.05555555555555558,0.0,fallback_persistence,2,0,0.1297372742200326,0.13733015407404284,0.2821970443349765,0.3262110428981582,0.09405333674279313,0.12495289122403713,0.1,0.1271482074850708,0.5453333333333326,0.7375364397777228,0.09988342857791525,0.13183196804043876
2026-03-29,2026-03-29T15:50:00Z,02,stable,none,0.02777777777777779,0.0,fallback_persistence,2,0,0.19823351872450748,0.23514533369769727,1.0972040415276219,1.2765151155506813,0.46983767051033565,0.5382421236002273,0.28949999999999876,0.3282235518667104,0.6523333333333331,0.8273745222086548,0.3050413653187241,0.36924673166542354
2026-03-29,2026-03-29T16:00:00Z,01,stable,none,0.05555555555555558,0.033333333333333326,fallback_persistence,3,0,0.06534482758620695,0.07306011738671324,0.253173340748981,0.3130443824969726,0.07216550753339378,0.09179484876870211,0.16799999999999973,0.1814754345175491,0.7868333333333346,0.9099601639632378,0.11581649056950116,0.14107472973373383
2026-03-29,2026-03-29T16:00:00Z,02,stable,none,0.02777777777777779,0.0,fallback_persistence,3,0,0.15785894697812317,0.1923280158662119,1.2258228995179812,1.3811157929247073,0.4513788436214877,0.5178283706639912,0.22050000000000006,0.2649302423909609,0.5880666666666663,0.7295910726793006,0.297176276363545,0.3674000903866818
2026-03-29,2026-03-29T16:10:00Z,01,stable,none,0.033333333333333326,0.033333333333333326,fallback_persistence,4,0,0.03383885799035866,0.04208346091378871,0.41214642195031576,0.5012044257155679,0.1096524772317986,0.13433225290848216,0.07066666666666646,0.08374564665302488,0.5088333333333319,0.5584181527612901,0.09879470118573455,0.11869174762721961
2026-03-29,2026-03-29T16:10:00Z,02,stable,none,0.02777777777777779,0.0,fallback_persistence,4,0,0.17730509454949986,0.20976017683601467,0.6537135038932135,0.7915971312667229,0.27969082606836404,0.33798774854456964,0.14330000000000034,0.18555493346535773,0.8210666666666656,0.9436102655934449,0.29133872382124953,0.3542157572706781
