sample_id,pod_id,seq,t0_src_utc,t1_gateway_accepted_utc,t1_row_ts_pc_utc,t2_db_visible_utc,t3_dashboard_visible_utc,temp_c,rh_pct,gateway_ingestion_ms,db_availability_ms,db_after_gateway_ms,dashboard_visibility_ms,end_to_end_ms,dashboard_status
99:20,99,20,2026-04-03T11:25:51.916564Z,2026-04-03T11:25:51.917557Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.935565Z,2026-04-03T11:25:51.960796Z,20.2,45.2,0.993,19.001,18.008,44.232,44.232,OPTIMAL
99:21,99,21,2026-04-03T11:25:51.960796Z,2026-04-03T11:25:51.960796Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.977813Z,2026-04-03T11:25:52.007847Z,20.21,45.21,0.0,17.017,17.017,47.051,47.051,OPTIMAL
99:22,99,22,2026-04-03T11:25:52.007847Z,2026-04-03T11:25:52.008827Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.025817Z,2026-04-03T11:25:52.039774Z,20.22,45.22,0.98,17.97,16.990000000000002,31.926999999999996,31.926999999999996,OPTIMAL
99:23,99,23,2026-04-03T11:25:52.039774Z,2026-04-03T11:25:52.039774Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.058769Z,2026-04-03T11:25:52.087767Z,20.23,45.23,0.0,18.995,18.995,47.993,47.993,OPTIMAL
99:24,99,24,2026-04-03T11:25:52.087767Z,2026-04-03T11:25:52.088747Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.106765Z,2026-04-03T11:25:52.132951Z,20.24,45.24,0.98,18.998,18.018,45.184000000000005,45.184000000000005,OPTIMAL
99:25,99,25,2026-04-03T11:25:52.132951Z,2026-04-03T11:25:52.133936Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.150926Z,2026-04-03T11:25:52.166945Z,20.25,45.25,0.985,17.975,16.990000000000002,33.99400000000001,33.99400000000001,OPTIMAL
99:26,99,26,2026-04-03T11:25:52.166945Z,2026-04-03T11:25:52.166945Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.184933Z,2026-04-03T11:25:52.213935Z,20.26,45.26,0.0,17.988,17.988,46.989999999999995,46.989999999999995,OPTIMAL
99:27,99,27,2026-04-03T11:25:52.213935Z,2026-04-03T11:25:52.213935Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.232934Z,2026-04-03T11:25:52.246933Z,20.27,45.27,0.0,18.999,18.999,32.998,32.998,OPTIMAL
99:28,99,28,2026-04-03T11:25:52.246933Z,2026-04-03T11:25:52.247951Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.268914Z,2026-04-03T11:25:52.313903Z,20.28,45.28,1.018,21.981,20.962999999999997,66.97,66.97,OPTIMAL
99:29,99,29,2026-04-03T11:25:52.313903Z,2026-04-03T11:25:52.313903Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.331910Z,2026-04-03T11:25:52.349902Z,20.29,45.29,0.0,18.006999999999998,18.006999999999998,35.999,35.999,OPTIMAL
99:30,99,30,2026-04-03T11:25:52.349902Z,2026-04-03T11:25:52.350911Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.370262Z,2026-04-03T11:25:52.404278Z,20.3,45.3,1.009,20.36,19.351,54.376,54.376,OPTIMAL
99:31,99,31,2026-04-03T11:25:52.404278Z,2026-04-03T11:25:52.404278Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.422289Z,2026-04-03T11:25:52.449396Z,20.31,45.31,0.0,18.011,18.011,45.117999999999995,45.117999999999995,OPTIMAL
99:32,99,32,2026-04-03T11:25:52.449396Z,2026-04-03T11:25:52.450397Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.466417Z,2026-04-03T11:25:52.482397Z,20.32,45.32,1.001,17.021,16.02,33.001000000000005,33.001000000000005,OPTIMAL
99:33,99,33,2026-04-03T11:25:52.482397Z,2026-04-03T11:25:52.483401Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.503402Z,2026-04-03T11:25:52.527407Z,20.33,45.33,1.004,21.005,20.001,45.01,45.01,OPTIMAL
99:34,99,34,2026-04-03T11:25:52.527407Z,2026-04-03T11:25:52.528395Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.545408Z,2026-04-03T11:25:52.577440Z,20.34,45.34,0.988,18.001,17.013,50.033,50.033,OPTIMAL
99:35,99,35,2026-04-03T11:25:52.577440Z,2026-04-03T11:25:52.577440Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.594440Z,2026-04-03T11:25:52.622443Z,20.35,45.35,0.0,17.0,17.0,45.003,45.003,OPTIMAL
99:36,99,36,2026-04-03T11:25:52.622443Z,2026-04-03T11:25:52.623441Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.640443Z,2026-04-03T11:25:52.654443Z,20.36,45.36,0.998,18.0,17.002,32.0,32.0,OPTIMAL
99:37,99,37,2026-04-03T11:25:52.655444Z,2026-04-03T11:25:52.655444Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.672442Z,2026-04-03T11:25:52.700440Z,20.37,45.37,0.0,16.997999999999998,16.997999999999998,44.996,44.996,OPTIMAL
99:38,99,38,2026-04-03T11:25:52.700440Z,2026-04-03T11:25:52.701440Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.717440Z,2026-04-03T11:25:52.748424Z,20.38,45.38,1.0,17.0,16.0,47.984,47.984,OPTIMAL
99:39,99,39,2026-04-03T11:25:52.748424Z,2026-04-03T11:25:52.749415Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.766416Z,2026-04-03T11:25:52.796566Z,20.39,45.39,0.9909999999999999,17.992,17.000999999999998,48.141999999999996,48.141999999999996,OPTIMAL
